ID,Species,colony,treatment,tank,sampling_point,day,position_glass,net_ps,respiration,gross_ps
D-T4-2,Pve,D,MP,4,T0,2,B7,34.32448524,5.374008421,39.69849366
D-T5,Spi,D,Control,5,T0,3,B1,31.44139181,4.516522812,35.95791462
D-T5,Spi,D,Control,5,T1,7,C5,22.60167558,25.19212673,47.7938023
D-T5-2,Pve,D,Control,5,T0,3,B9,24.78234304,3.626753743,28.40909678
D-T5-2,Pve,D,Control,5,T1,7,B1,33.88353872,21.05986046,54.94339918
D-T6,Spi,D,MP + HF,6,T0,1,B6,28.74453384,1.608125335,30.35265917
D-T6,Spi,D,MP + HF,6,T1,5,C4,39.00223591,-16.74153027,22.26070564
D-T6-2,Pve,D,MP + HF,6,T1,5,B1,21.94690445,2.892806023,24.83971047
D-T6-2,Pve,D,MP + HF,6,T0,1,B7,20.44089367,-4.625670718,15.81522295
D-T9,Spi,D,MP,9,T0,2,C4,21.56438564,14.9965555,36.56094114
D-T9,Spi,D,MP,9,T1,6,C8,27.0987733,16.35243555,43.45120885
D-T9-2,Pve,D,MP,9,T1,6,B4,84.91900654,16.65414788,101.5731544
D-T9-2,Pve,D,MP,9,T0,2,B9,32.02351929,1.879889247,33.90340853
